Date,Open,High,Low,Close,Volume,Currency
6/5/2015,1176.5,1178,1162.1,1168.1,150679,USD
6/8/2015,1170.8,1177.1,1168.5,1173.6,107088,USD
6/9/2015,1173.2,1182.3,1171.8,1177.6,91631,USD
6/10/2015,1175.8,1191.8,1174.3,1186.6,124680,USD
6/11/2015,1185.7,1187.4,1174.8,1180.4,114926,USD
6/12/2015,1180.8,1183.7,1175.6,1179.2,86352,USD
6/15/2015,1180,1190.2,1171.9,1185.8,129826,USD
6/16/2015,1185.3,1187.4,1175.4,1180.9,100203,USD
6/17/2015,1181.1,1188.8,1173.9,1176.8,101554,USD
6/18/2015,1184.2,1205.7,1183.1,1202,190686,USD
6/19/2015,1201.8,1203.9,1198,1201.9,86055,USD
6/22/2015,1199.7,1200.8,1181.6,1184.1,127145,USD
6/23/2015,1185.3,1187.7,1175.6,1176.6,122250,USD
6/24/2015,1177.6,1179.7,1168.1,1172.9,118451,USD
6/25/2015,1174.1,1177.3,1170.5,1171.8,88847,USD
6/26/2015,1172.5,1178,1167.1,1173.2,107921,USD
6/29/2015,1182.5,1187.6,1173.2,1179,145708,USD
6/30/2015,1179.8,1180,1165.4,1171.8,148193,USD
7/1/2015,1172.4,1174.4,1166.7,1169.3,95179,USD
7/2/2015,1167.7,1169.2,1155.8,1163.5,144729,USD
7/3/2015,1173.2,1174.4,1161.9,1173.2,141898,USD
7/7/2015,1168.8,1170,1146.8,1152.6,198533,USD
7/8/2015,1154,1163.8,1145.9,1163.5,168006,USD
7/9/2015,1157.5,1166.9,1155.1,1159.2,130014,USD
7/10/2015,1158.7,1164.5,1156.4,1157.9,112568,USD
7/13/2015,1162.3,1163.9,1149.8,1155.4,126732,USD
7/14/2015,1157,1159.1,1151.8,1153.5,109142,USD
7/15/2015,1153.9,1155.8,1141.9,1147.4,150648,USD
7/16/2015,1146.2,1148.2,1140.6,1143.9,125703,USD
7/17/2015,1144.3,1144.5,1129.6,1131.9,161004,USD
7/20/2015,1132.4,1132.5,1080,1106.8,261352,USD
7/21/2015,1098,1108.8,1095.9,1103.5,172518,USD
7/22/2015,1100.1,1102.3,1085.6,1091.5,182184,USD
7/23/2015,1093.4,1104.9,1086.1,1094.1,204073,USD
7/24/2015,1089.5,1100.9,1072.3,1085.5,249020,USD
7/27/2015,1098.6,1104.4,1087.7,1096.4,191964,USD
7/28/2015,1094.1,1098.2,1090.7,1096.2,176077,USD
7/29/2015,1094.5,1100.9,1088.9,1092.6,159142,USD
7/30/2015,1096.6,1098.2,1081.5,1088.7,169098,USD
7/31/2015,1087.7,1103,1079.2,1095.1,174127,USD
